      X1   X2    Y
1  -0.05 5.50 7.38
2   0.25 6.75 8.51
3   0.60 7.25 9.52
4   0.00 5.50 7.50
5   0.25 7.00 9.33
6   0.20 6.50 8.28
7   0.15 6.75 8.75
8   0.05 5.25 7.87
9  -0.15 5.25 7.10
10  0.15 6.00 8.00
11  0.20 6.50 7.89
12  0.10 6.25 8.15
13  0.40 7.00 9.10
14  0.45 6.90 8.86
15  0.35 6.80 8.90
16  0.30 6.80 8.87
17  0.50 7.10 9.26
18  0.50 7.00 9.00
19  0.40 6.80 8.75
20 -0.05 6.50 7.95
21 -0.05 6.25 7.65
22 -0.10 6.00 7.27
23  0.20 6.50 8.00
24  0.10 7.00 8.50
25  0.50 6.80 8.75
26  0.60 6.80 9.21
27 -0.05 6.50 8.27
28  0.00 5.75 7.67
29  0.05 5.80 7.93
30  0.55 6.80 9.26
