      X1 X2 X3 Y
1    2.5  0  0 0
2  173.0  2  0 0
3  119.0  2  0 0
4   10.0  2  0 0
5  502.0  2  0 0
6    4.0  0  0 0
7   14.4  0  1 0
8    2.0  2  0 0
9   40.0  2  0 0
10   6.6  0  0 0
11  21.4  2  1 0
12   2.8  0  0 0
13   2.5  0  0 0
14   6.0  0  0 0
15   3.5  0  1 0
16  62.2  0  0 1
17  10.8  0  1 1
18  21.6  0  1 1
19   2.0  0  1 1
20   3.4  2  1 1
21   5.1  0  1 1
22   2.4  0  0 1
23   1.7  0  1 1
24   1.1  0  1 1
25  12.8  0  1 1
26   1.2  2  0 0
27   3.5  0  0 0
28  39.7  0  0 0
29  62.4  0  0 0
30   2.4  0  0 0
31  34.7  0  0 0
32  28.4  2  0 0
33   0.9  0  1 0
34  30.6  2  0 0
35   5.8  0  1 0
36   6.1  0  1 0
37   2.7  2  1 0
38   4.7  0  0 0
39 128.0  2  1 0
40  35.0  0  0 0
41   2.0  0  0 1
42   8.5  0  1 1
43   2.0  2  1 1
44   2.0  0  1 1
45   4.3  0  1 1
46 244.8  2  1 1
47   4.0  0  1 1
48   5.1  0  1 1
49  32.0  0  1 1
50   1.4  0  1 1
