   type  x1  x2  x3  x4 x5   x6  x7
1     I 6.6  39 1.0 6.0  6 0.12  20
2     I 6.6  39 1.0 6.0 12 0.12  20
3     I 6.1  47 1.0 6.0  6 0.08  12
4     I 6.1  47 1.0 6.0 12 0.08  12
5     I 8.4  32 2.0 7.5 19 0.35  75
6     I 7.2   6 1.0 7.0 28 0.30  30
7     I 8.4 113 3.5 6.0 18 0.15  75
8     I 7.5  52 1.0 6.0 12 0.16  40
9     I 7.5  52 3.5 7.5  6 0.16  40
10    I 8.3 113 0.0 7.5 35 0.12 180
11    I 7.8 172 1.0 3.5 14 0.21  45
12    I 7.8 172 1.5 3.0 15 0.21  45
13   II 8.4  32 1.0 5.0  4 0.35  75
14   II 8.4  32 2.0 9.0 10 0.35  75
15   II 8.4  32 2.5 4.0 10 0.35  75
16   II 6.3  11 4.5 7.5  3 0.20  15
17   II 7.0   8 4.5 4.5  9 0.25  30
18   II 7.0   8 6.0 7.5  4 0.25  30
19   II 7.0   8 1.5 6.0  1 0.25  30
20   II 8.3 161 1.5 4.0  4 0.08  70
21   II 8.3 161 0.5 2.5  1 0.08  70
22   II 7.2   6 3.5 4.0 12 0.30  30
23   II 7.2   6 1.0 3.0  3 0.30  30
24   II 7.2   6 1.0 6.0  5 0.30  30
25   II 5.5   6 2.5 3.0  7 0.18  18
26   II 8.4 113 3.5 4.5  6 0.15  75
27   II 8.4 113 3.5 4.5  8 0.15  75
28   II 7.5  52 1.0 6.0  6 0.16  40
29   II 7.5  52 1.0 7.5  8 0.16  40
30   II 8.3  97 0.0 6.0  5 0.15 180
31   II 8.3  97 2.5 6.0  5 0.15 180
32   II 8.3  89 0.0 6.0 10 0.16 180
33   II 8.3  56 1.5 6.0 13 0.25 180
34   II 7.8 172 1.0 3.5  6 0.21  45
35   II 7.8 283 1.0 4.5  6 0.18  45
