          X1          X2          X3          Y1          Y2          Y3
1      140.6        43.7        77.9        2.67        7.00       108.0
2      135.7        39.5        63.9        2.08        6.98        91.7
3      140.2        48.0        75.0        2.62        6.17       101.8
4      152.1        52.3        88.1        2.89       10.42       112.5
5      132.2        36.7        62.4        2.14        7.47        97.5
6      147.1        45.2        78.9        2.86        9.25        92.4
7      147.5        47.4        76.2        3.14        8.78        95.4
8      130.6        38.4        61.8        2.03        5.31        77.2
9      154.9        48.2        87.2        2.91       10.69        80.8
10     142.4        42.6        74.1        2.33       11.15        76.7
11     136.5        38.4        69.6        1.98        7.77        49.9
12     162.0        58.7        95.6        3.29        3.35        58.0
13     148.9        42.4        80.6        2.74       10.11        82.4
14     136.3        33.1        68.3        2.44        7.82        76.5
15     159.5        49.1        87.7        2.98       11.77        88.1
16     165.9        55.7        93.5        3.17       13.14       110.3
17     134.5        41.6        61.9        2.25        8.75        75.1
18     152.5        53.4        83.2        2.96        6.60        71.5
19     138.2        35.5        66.1        2.13        6.62       105.4
20     144.2        42.0        76.2        2.52        5.59        82.0
21     128.1        37.3        57.0        1.92        5.81        92.7
22     127.5        32.0        57.9        2.02        6.42        78.2
23     140.7        44.7        73.7        2.64        8.00        89.1
24     150.4        49.7        82.4        2.87        9.09        61.8
25     151.5        48.5        81.3        2.71       10.20        98.9
26     151.3        47.2        84.3        2.92        6.16        83.7
27     150.2        48.1        85.8        2.79        9.50        84.0
28     139.4        33.6        67.0        2.27        8.92        71.0
29     150.8        45.6        84.9        2.86       12.03       125.4
30     140.6        46.7        67.9        2.67        7.00       108.0
31     135.7        47.5        57.9        2.38        6.98        91.7
32     140.2        48.0        71.0        2.62        6.17       101.8
33     152.1        50.3        88.1        2.89       10.42       112.5
34     132.2        43.7        62.4        2.14        7.47        97.5
35     147.1        41.2        78.9        2.66        9.25        92.4
36     147.5        45.4        76.2        2.75        8.78        95.4
37     130.6        38.4        65.8        2.13        5.31        77.2
38     154.9        48.2        91.2        2.91       10.69        80.8
39     142.4        42.6        83.1        2.63       11.15        76.7
40     136.5        40.4        69.6        2.01        7.77        49.9
