   身材 体重 敏捷性 聪颖性 友善性 进攻性  功用
 1   胖 中等 很敏捷   聪明     好     强  益犬
 2   瘦   轻 不敏捷 不聪明     差     强  狩猎
 3   胖 中等 很敏捷 很聪明     好     强  益犬
 4 适中 中等   敏捷   聪明     好     强  益犬
 5   瘦   轻 不敏捷   聪明     好     弱  陪伴
 6   胖   重 不敏捷 很聪明     差     强  益犬
 7   瘦   轻   敏捷 很聪明     好     弱  陪伴
 8   瘦   轻 不敏捷 不聪明     好     弱  陪伴
 9 适中   轻 不敏捷   聪明     好     强  陪伴
10   胖 中等 很敏捷   聪明     好     弱  陪伴
11 适中 中等   敏捷   聪明     好     弱  陪伴
12   胖 中等 很敏捷 很聪明     差     强  益犬
13   胖   重 很敏捷 不聪明     差     强  益犬
14 适中 中等   敏捷 很聪明     好     弱  狩猎
15   胖 中等   敏捷   聪明     差     弱  狩猎
16   胖 中等 很敏捷 不聪明     差     强  狩猎
17   瘦   轻   敏捷   聪明     好     强  陪伴
18   胖 中等   敏捷 不聪明     差     强  狩猎
19 适中 中等   敏捷   聪明     好     弱  狩猎
20   胖 中等 很敏捷 不聪明     差     弱  狩猎
21   胖   重 不敏捷 不聪明     差     强  益犬
22   瘦   轻 不敏捷 不聪明     好     弱  陪伴
23   胖 中等 很敏捷 很聪明     差     弱  狩猎
24   胖   重 不敏捷   聪明     差     强  益犬
25   胖 中等 很敏捷   聪明     差     弱  狩猎
26   瘦   轻 不敏捷   聪明     好     弱  陪伴
27   胖   重 不敏捷   聪明     差     弱  益犬
