               SAT       前十 接受率 师生比   费用 毕业率
哈弗         14.00         91     14     11 39.525     97
普林斯顿     13.75         91     14      8 30.220     95
耶鲁         13.75         95     19     11 43.514     96
斯坦福       13.60         90     20     12 36.450     93
麻省理工     13.80         94     30     10 34.870     91
杜克         13.15         90     30     12 31.585     95
加州理工     14.15        100     25      6 63.575     81
达特茅斯     13.40         89     23     10 32.162     95
布朗         13.10         89     22     13 22.704     94
约翰斯霍普金斯 13.05         75     44      7 58.691     87
芝加哥       12.90         75     50     13 38.380     87
宾夕法尼亚   12.85         80     36     11 27.553     90
康奈尔       12.80         83     33     13 21.864     90
西北         12.60         85     39     11 28.052     89
哥伦比亚     13.10         76     24     12 31.510     88
诺特丹       12.55         81     42     13 15.122     94
弗吉尼亚     12.25         77     44     14 13.349     92
乔治敦       12.55         74     24     12 20.126     92
卡耐基梅隆   12.60         62     59      9 25.026     72
密歇根       11.80         65     68     16 15.470     85
伯克利分校   12.40         95     40     17 15.140     78
威斯康星     10.85         40     69     15 11.857     71
宾州         10.81         38     54     18 10.185     80
普度         10.05         28     90     19  9.066     69
得克萨斯     10.75         49     67     25  8.704     67
