                  X1   X2    X3   X4   X5      X6   X7    X8
 Ari.Pub.Ser.   1.06  9.2 151.0 54.4  1.6  9077.0  0   0.628
 Bost.Ed.       0.89 10.3 202.0 57.9  2.2  5088.0 25.3 1.555
 Cen.Louis.     1.43 15.4 113.0 53.0  3.4  9212.0  0   1.058
 Common.Ed.     1.02 11.2 168.0 56.0  0.3  6423.0 34.3 0.700
 Con.Ed.        1.49  8.8 192.0 51.2  1.0  3300.0 15.6 2.044
 Flor.Po.&Li.   1.32 13.5 111.0 60.0 -2.2 11127.0 22.5 1.241
 Haw.El.        1.22 12.2 175.0 67.6  2.2  7642.0  0   1.652
 Idaho_Po.      1.10  9.2 245.0 57.0  3.3 13082.0  0   0.309
 Kent_Util.     1.34 13.0 168.0 60.4  7.2  8406.0  0   0.862
 M.G.&E.        1.12 12.4 197.0 53.0  2.7  6455.0 39.2 0.623
 Nev.Po.        0.75  7.5 173.0 51.5  6.5 17441.0  0   0.768
 N.Eng.El.      1.13 10.9 178.0 62.0  3.7  6154.0  0   1.897
 NSP.           1.15 12.7 199.0 53.7  6.4  7179.0 50.2 0.527
 Ok.G.&E.       1.09 12.0  96.0 49.8  1.4  9673.0  0   0.588
 Pac.G&E        0.96  7.6 164.0 62.2 -0.1  6468.0  0.9 1.400
 Pug.Sd.Po.     1.16  9.9 252.0 56.0  9.2 15991.0  0   0.620
 San_Dieg.G&E   0.76  6.4 136.0 61.9  9.0  5714.0  8.3 1.920
 Southern_Co.   1.05 12.6 150.0 56.7  2.7 10140.0  0   1.108
 Tex.Util.      1.16 11.7 104.0 54.0 -2.1 13507.0  0   0.636
 WEPC           1.20 11.8 148.0 59.9  3.5  7287.0 41.1 0.702
 Unit.Ill.Co.   1.04  8.6 204.0 61.0  3.5  6650.0  0   2.116
 VEPCO          1.07  9.3 174.0 54.3  5.9 10093.0 26.6 1.306
