           ²Ø×å   Äá²´¶û    Ó¡¶È     ºº×å  
    A1  0.0308  0.0180  0.1190  0.0149 
    A2  0.3333  0.1070  0.1480  0.3492 
    A3  0.0204  0.0190  0.1010  0.0176 
    A9  0.3037  0.2790  0.1560  0.1414 
   A10  0.0409  0.0180  0.0390  0.0313 
   A11  0.1354  0.4220  0.1260  0.2977 
   A28  0.0000  0.0180  0.0830  0.0094 
   A30  0.0413  0.0000  0.0000  0.0217 
   A31  0.0518  0.0370  0.0220  0.0121 
   A32  0.0000  0.0190  0.0390  0.0013 
   A33  0.0000  0.0670  0.0830  0.0608 
    B5  0.2828  0.1180  0.1340  0.0825 
    B7  0.0000  0.0190  0.0800  0.0244 
    B8  0.0102  0.0118  0.0450  0.0094 
   B12  0.0102  0.0370  0.0660  0.0121 
   B13  0.0102  0.0770  0.0060  0.0650 
   B14  0.0000  0.0000  0.0060  0.0013 
   B15  0.1923  0.2540  0.0960  0.1092 
   B18  0.0050  0.0280  0.0220  0.0000 
   B27  0.1067  0.0000  0.0260  0.0204 
   B35  0.0626  0.0570  0.1480  0.0342 
   B37  0.0102  0.0180  0.0090  0.0067 
   B38  0.0465  0.0470  0.0030  0.0015 
   B39  0.0102  0.0000  0.0090  0.0176 
   B46  0.0102  0.0090  0.0000  0.1813 
   B48  0.0572  0.1500  0.0030  0.0108 
   B50  0.0102  0.0180  0.0370  0.0000 
   B53  0.0050  0.0000  0.0060  0.0000 
   B54  0.0153  0.0000  0.0000  0.0176 
   B55  0.0572  0.0280  0.0260  0.0217 
   B56  0.0102  0.0090  0.0060  0.0040 
   B57  0.0050  0.0180  0.0390  0.0341 
   B58  0.0000  0.0670  0.0330  0.0139 
   B60  0.0626  0.0280  0.0220  0.0723 
   B61  0.0899  0.0000  0.0830  0.1080 
   B70  0.0050  0.0000  0.0080  0.0000 
    C1  0.0899  0.0370  0.0230  0.1716 
    C2  0.0204  0.0000  0.0730  0.0397 
    C3  0.1798  0.1070  0.0830  0.3269 
    C4  0.1651  0.0770  0.1340  0.0495 
    C5  0.0000  0.0090  0.0160  0.0054 
    C6  0.0256  0.2450  0.0450  0.0081 
    C7  0.1712  0.2180  0.1190  0.1152 
    C8  0.0050  0.0000  0.0040  0.0027 
